Assessment Name,Remote Testing,Adaptive/IRT,Duration,Test Type,URL
Account Manager Solution,Yes,Yes,49,"C, P, A, B",https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/
Administrative Professional - Short Form,Yes,Yes,36,"A, K, P",https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/
Agency Manager Solution,Yes,Yes,51,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/
Apprentice + 8.0 Job Focused Assessment,Yes,No,30,"B, P",https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/
Apprentice 8.0 Job Focused Assessment,Yes,No,20,"B, P",https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/
Bank Administrative Assistant - Short Form,Yes,No,35,"A, B, K, P",https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/
Bank Collections Agent - Short Form,Yes,No,45,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/
Bank Operations Supervisor - Short Form,Yes,Yes,45,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/
Bilingual Spanish Reservation Agent Solution,Yes,Yes,43,"B, P, S, A",https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
"Bookkeeping, Accounting, Auditing Clerk Short Form",Yes,Yes,49,"P, S, K, B, A",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/
Branch Manager - Short Form,Yes,No,50,"A, B, P",https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/
Cashier Solution,Yes,Yes,28,"B, A, P",https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/
Claims/Operations Supervisor Solution,Yes,Yes,48,"P, S, A, B",https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/
Contact Center Customer Service + 8.0,Yes,No,41,"A, B, C, P, S",https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/
Contact Center Customer Service 8.0,Yes,No,31,"S, B, C, P",https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/
Contact Center Manager - Short Form,Yes,Yes,50,"A, B, P, S",https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/
